Hugo_Symbol,log2_fpkm_mean
AR,5.910499603194833
ARHGAP8,-0.07897116871825244
ASXL3,-0.006756002202445469
AURKA,3.034313974771918
BRINP1,92.5458873737897
C7orf76,-0.5853366251858839
CAND2,-0.24690404284515668
CATSPERB,-2.1405130502204446
CCND1,1.2111911783887415
CIITA,-0.7214385166514833
CREBBP,-0.08838249722190214
CSDE1,12.391951089563303
CYLD,-0.9533229008033081
DICER1,11.572026241163796
DNMT1,0.8858642240455815
EFNA4,-1.8105736995069008
EPN3,-1.1250000962431466
ETV5,72.80742613662558
EVPL,-1.4214377929880946
EZH2,0.8580689149698575
FHIT,-0.5163312815846035
FOXP1,-0.616793667125185
GATA2,-1.6971201947228538
GNAO1,-1.2041680878803855
GPX2,4.50856297115212
HERPUD1,1.0237343629926365
HOXB13,-1.127585130291432
JAKMIP2,4.1980851262568635
KCNB2,159.16751622181232
KCND2,-1.099645175234176
KIAA0408,231.51885299737827
KLK3,0.896687806350818
KLK4,-0.18835300402369473
LMAN1L,-1.278486475725557
LRRC16B,4.375304288574217
MAP10,62.09729187085554
MAPKAPK3,47.56078568350767
MMP2,2.165814352337241
MYCN,-0.2749443383061241
MYH9,28.16688936415393
NKX3-1,0.5404313902388322
NRSN1,5.2977225378953126
NUP93,2.5379560630423055
OPHN1,-0.25030272882522847
PAX8,-0.7148315071325964
PCSK1,22.796584168399026
PIEZO1,-1.1317759737125246
PROX1,15.949662555885311
PRR5-ARHGAP8,-0.5469896905165592
PSCA,-2.3925580741135892
RAB27B,-0.8475742234169426
RB1,-1.0291218774343078
RBBP6,-0.7209926542796687
RGS10,-0.49234153687806753
RGS7,3.4397254398289436
RIPK2,-0.4597987878711736
SCG3,12.987110162212987
SEC11C,14.008813705989233
SEZ6,2.3284041691380524
SLC25A37,1.5009929793363268
SLC44A4,-0.9808301889862463
SOGA3,-0.02222845197775232
SPDEF,6.534535980085114
ST8SIA3,-1.507880261910206
SVOP,-1.4647080009809446
SYT11,20.00771467082449
TC2N,21.059153864686586
TRIM33,1.9105523976322707
TRIM9,-1.0418548613680514
UPK2,-1.5443565086992168
